search URL:,https://patents.google.com/?assignee=Univ+Brighton&after=filing:20100101&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-2013072845-A1,Carbon and its use in blood cleansing applications ,"University Of Brighton, Mast Carbon International Ltd","Stephen Robert Tennison, Oleksandr Prokopovyeh Kozynchenko, Anthony Paul Rawlinson, Gary James Phillips, Carol Angela Howell, Susan Rachel Sandeman, Sergey Victorovich Mikhalovsky",2009-12-09,2010-12-09,2013-03-21,,https://patents.google.com/patent/US20130072845A1/en,https://patentimages.storage.googleapis.com/16/87/bf/7a180e97149655/US20130072845A1-20130321-D00000.png
WO-2012146925-A3,Neuropathy test device ,University Of Brighton,Timothy Katz,2011-04-26,2012-04-26,2013-01-03,,https://patents.google.com/patent/WO2012146925A3/en,
WO-2013136094-A1,Porous carbon particles for use in the treatment or prevention of liver disease ,"Ucl Business Plc, University Of Brighton","Carol Angela Howell, Sergey Victorovich Mikhalovsky, Susan Rachel Sandeman, Rajiv Jalan, Jane MACNAUGHTAN",2012-03-16,2013-03-15,2013-09-19,,https://patents.google.com/patent/WO2013136094A1/en,
US-2011046346-A1,Biomaterial with functionalised surfaces ,University Of Brighton,"Andrew William Lloyd, George William John Olivier, Guy Standen, Matteo Santin, Steven Thomas Meikle",2006-12-06,2010-08-24,2011-02-24,,https://patents.google.com/patent/US20110046346A1/en,https://patentimages.storage.googleapis.com/f5/5f/77/d31d4421952a82/US20110046346A1-20110224-D00000.png
US-2022161223-A1,MXene Sorbent For Removal Of Small Molecules From Dialysate ,"Drexel University, University Of Brighton","Yury Gogotsi, Sergey MIKHALOVSKY, Susan R Sandeman, Babak ANASORI, Fayan MENG",2017-08-01,2022-02-14,2022-05-26,,https://patents.google.com/patent/US20220161223A1/en,https://patentimages.storage.googleapis.com/4f/55/39/dbd1321cbfc448/US20220161223A1-20220526-D00001.png
WO-2017009662-A1,Shaped nanoporous bodies ,"C-Tex Limited, University Of Brighton","Stephen Robert Tennison, Michal Kowalski, Thomas Avery, Susan Rachel Sandeman, Carol Angela Howell, Yishan ZHENG, Ganesh INGAVLE, Sergey Victorovich Mikhalovsky, Mambet NURALIYEV",2015-07-16,2016-07-15,2017-01-19,,https://patents.google.com/patent/WO2017009662A1/en,
WO-2014080230-A1,Carbon materials and their use ,"Mast Carbon International Ltd, University Of Brighton","Stephen Robert Tennison, Oleksandr Prokopovych Kozynchenko, Andrew CUNDY, Rosa Busquets Santacana",2012-11-26,2013-11-25,2014-05-30,,https://patents.google.com/patent/WO2014080230A1/en,
WO-2010116321-A3,"Biopolymer-containing calcium phosphate foam, process for obtaining thereof and use for bone regeneration ","Universitat Politecnica De Catalunya, University Of Brighton","Maria Pau Ginebra Molins, Josep-Antón PLANELL ESTANY, Matteo Alfredo Giovanni Santin, Luigi Ambrosio",2009-04-06,2010-04-06,2011-02-24,,https://patents.google.com/patent/WO2010116321A3/en,
EP-2505214-A1,A tissue engineering scaffold ,University of Brighton,"Stuart Laurence James, Rotislav Vladimirovich Shevchenko",2011-03-31,2011-03-31,2012-10-03,,https://patents.google.com/patent/EP2505214A1/en,https://patentimages.storage.googleapis.com/6e/98/73/5204625715e785/imgf0001.png
US-2014288121-A1,Asthma ,"The University Of Brighton, The University Of Sussex","Somnath Mukhopadhyay, Jason Cunningham",2013-03-15,2014-03-14,2014-09-25,,https://patents.google.com/patent/US20140288121A1/en,https://patentimages.storage.googleapis.com/7a/f1/43/3faa720229d754/US20140288121A1-20140925-D00001.png
GB-201207711-D0,Dental floss ,Univ Brighton,,2012-05-02,2012-05-02,2012-06-13,,https://patents.google.com/patent/GB201207711D0/en,
GB-201213628-D0,Method of macroporous gel preparation ,Univ Brighton,,2012-07-31,2012-07-31,2012-09-12,,https://patents.google.com/patent/GB201213628D0/en,
WO-2012001373-A1,Neuropathy test device ,University Of Brighton,Timothy Katz,2010-07-02,2011-07-01,2012-01-05,,https://patents.google.com/patent/WO2012001373A1/en,
GB-201608267-D0,Microelectrode ,Univ Brighton,,2016-05-11,2016-05-11,2016-06-22,,https://patents.google.com/patent/GB201608267D0/en,
GB-2489496-A,Tissue engineering scaffold ,Univ Brighton,"Stuart Laurence James, Rostislav Vladimirovich Shevchenko",2011-03-31,2011-03-31,2012-10-03,,https://patents.google.com/patent/GB2489496A/en,
GB-201018169-D0,Apparatus and method for extracting energy from wave motion and for generating wave motion ,Univ Brighton,,2010-10-27,2010-10-27,2010-12-08,,https://patents.google.com/patent/GB201018169D0/en,
WO-2023056411-A1,Tuneable mxene-based lens design for specific wavelength filtration to aid ocular disorders and protect from potential harmful radiation ,"Drexel University, University Of Brighton","Yury Gogotsi, Susan Rachel Sandeman, Emma Jade WARD, Maria Natalia NORIEGA PEDRAZA",2021-09-30,2022-09-30,2023-04-06,,https://patents.google.com/patent/WO2023056411A1/en,
GB-201908260-D0,Method and device for sustance delivery to the inner ear ,Univ Of Brighton,,2019-06-10,2019-06-10,2019-07-24,,https://patents.google.com/patent/GB201908260D0/en,
GB-201521100-D0,Apparatus ,Univ Bath The And University Of Brighton,,2015-11-30,2015-11-30,2016-01-13,,https://patents.google.com/patent/GB201521100D0/en,
GB-202111995-D0,Prevention and amelioration of liver toxin-induced senescene and loss of hepatocyte activity ,Univ Of Brighton,,2021-08-20,2021-08-20,2021-10-06,,https://patents.google.com/patent/GB202111995D0/en,
